NodeSource,NodeDestination,Frequency,Src Profile Power dBm,Src Total Rx Power,Dest Profile Power dBm,Dest Total Rx Power
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1173046875,-26,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1173242187.5,-26,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1173437500,-26,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1173632812.5,-29,-44,-29,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1173828125,-30,-44,-30,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1174023437.5,-33,-44,-33,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1174218750,-38,-44,-38,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1174414062.5,-38,-44,-38,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1174609375,-35,-44,-35,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1174804687.5,-32,-44,-32,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1175000000,-29,-44,-29,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1175195312.5,-28,-44,-28,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1175390625,-26,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1175585937.5,-26,-44,-25,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1175781250,-27,-44,-27,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1175976562.5,-27,-44,-27,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1176171875,-27,-44,-27,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1176367187.5,-28,-44,-28,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1176562500,-32,-44,-32,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1176757812.5,-34,-44,-34,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1176953125,-36,-44,-36,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1177148437.5,-36,-44,-36,-44
