NodeSource,NodeDestination,Frequency,Src Profile Power dBm,Src Total Rx Power,Dest Profile Power dBm,Dest Total Rx Power
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1196875000,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1197070312.5,-27,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1197265625,-27,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1197460937.5,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1197656250,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1197851562.5,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1198046875,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1198242187.5,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1198437500,-29,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1198632812.5,-29,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1198828125,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1199023437.5,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1199218750,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1199414062.5,-32,-30,-32,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1199609375,-34,-30,-34,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1199804687.5,-38,-30,-39,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1200000000,-42,-30,-42,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1200195312.5,-42,-30,-41,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1200390625,-42,-30,-42,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1200585937.5,-41,-30,-41,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1200781250,-37,-30,-37,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1200976562.5,-29,-30,-29,-26
